Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9013406,"RHOQ GTPase cycle",2,63,0.004030710172744722,0.988080664973031,0.988080664973031,1,5,3.333333333333333E-4,9606,Homo sapiens,"16283;88458","","R-HSA-9018746"
R-HSA-438064,"Post NMDA receptor activation events",4,96,0.006142034548944338,0.988138196329545,0.988138196329545,8,39,0.0026,9606,Homo sapiens,"1547;3387;17418;2904","","R-HSA-445367;R-HSA-9619478;R-HSA-9619542;R-HSA-9612085;R-HSA-9619515;R-HSA-442732;R-HSA-9618750;R-HSA-442760"
R-HSA-447115,"Interleukin-12 family signaling",4,96,0.006142034548944338,0.988138196329545,0.988138196329545,21,114,0.0076,9606,Homo sapiens,"16440;16255;26756;15978","","R-HSA-8950504;R-HSA-8950057;R-HSA-8950634;R-HSA-8950731;R-HSA-8952749;R-HSA-8981093;R-HSA-8950757;R-HSA-8952807;R-HSA-447252;R-HSA-8950364;R-HSA-8950269;R-HSA-9006431;R-HSA-8950591;R-HSA-8950448;R-HSA-8950128;R-HSA-8950354;R-HSA-447226;R-HSA-447130;R-HSA-8950423;R-HSA-8952823;R-HSA-8950583"
R-HSA-9820952,"Respiratory Syncytial Virus Infection Pathway",8,154,0.009852847088931542,0.9883822782450449,0.9883822782450449,9,101,0.006733333333333333,9606,Homo sapiens,"86507;17685;32796;28972;16796;1387;17336;28946","","R-HSA-9833446;R-HSA-9836468;R-HSA-9830805;R-HSA-9829030;R-HSA-9830882;R-HSA-9836899;R-HSA-9837231;R-HSA-1028817;R-HSA-9836857"
R-HSA-2173782,"Binding and Uptake of Ligands by Scavenger Receptors",9,168,0.010748560460652591,0.9886513333802481,0.9886513333802481,19,33,0.0022,9606,Homo sapiens,"17202;64023;17368;16113;53014;2495;15940;2904;4208;15768","","R-HSA-2187264;R-HSA-3221843;R-HSA-2187266;R-HSA-2512800;R-HSA-2507854;R-HSA-2197770;R-HSA-2197645;R-HSA-2197646;R-HSA-2173778;R-HSA-2247511;R-HSA-2203479;R-HSA-2168889;R-HSA-2247514;R-HSA-2203480;R-HSA-2247512;R-HSA-2247513;R-HSA-2187261;R-HSA-2981040;R-HSA-2299677"
R-HSA-5358351,"Signaling by Hedgehog",9,168,0.010748560460652591,0.9886513333802481,0.9886513333802481,20,82,0.0054666666666666665,9606,Homo sapiens,"18357;113;33442;16113;16586;16002;176466;34372;141","","R-HSA-5362448;R-HSA-5610742;R-HSA-5362551;R-HSA-5635859;R-HSA-5635868;R-HSA-5635102;R-HSA-5610745;R-HSA-5633051;R-HSA-5610746;R-HSA-5610757;R-HSA-5610725;R-HSA-5610727;R-HSA-5632679;R-HSA-5610758;R-HSA-5358340;R-HSA-5610754;R-HSA-5610767;R-HSA-5610766;R-HSA-5635854;R-HSA-5610760"
R-HSA-427359,"SIRT1 negatively regulates rRNA expression",1,44,0.0028150991682661546,0.988819633221768,0.988819633221768,2,5,3.333333333333333E-4,9606,Homo sapiens,"17154","","R-HSA-5211239;R-HSA-427514"
R-HSA-933541,"TRAF6 mediated IRF7 activation",1,44,0.0028150991682661546,0.988819633221768,0.988819633221768,4,13,8.666666666666666E-4,9606,Homo sapiens,"1387","","R-HSA-9604499;R-HSA-1028820;R-HSA-1028819;R-HSA-933536"
R-HSA-3899300,"SUMOylation of transcription cofactors",1,44,0.0028150991682661546,0.988819633221768,0.988819633221768,1,27,0.0018,9606,Homo sapiens,"1387","","R-HSA-3927959"
R-HSA-380320,"Recruitment of NuMA to mitotic centrosomes",4,97,0.0062060140754958415,0.9889921702766171,0.9889921702766171,2,2,1.3333333333333334E-4,9606,Homo sapiens,"27373;181620;16586;27389;33033","","R-HSA-380316;R-HSA-380508"
R-HSA-6782210,"Gap-filling DNA repair synthesis and ligation in TC-NER",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,2,2,1.3333333333333334E-4,9606,Homo sapiens,"176131;88735","","R-HSA-6782227;R-HSA-6782208"
R-HSA-72702,"Ribosomal scanning and start codon recognition",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,2,2,1.3333333333333334E-4,9606,Homo sapiens,"17196;68440;32635","","R-HSA-72697;R-HSA-72621"
R-HSA-174084,"Autodegradation of Cdh1 by Cdh1:APC/C",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,2,2,1.3333333333333334E-4,9606,Homo sapiens,"33442;31835","","R-HSA-174058;R-HSA-174057"
R-HSA-193648,"NRAGE signals death through JNK",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,4,7,4.6666666666666666E-4,9606,Homo sapiens,"18053;28716","","R-HSA-205115;R-HSA-205039;R-HSA-204958;R-HSA-205132"
R-HSA-9662361,"Sensory processing of sound by outer hair cells of the cochlea",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,3,8,5.333333333333334E-4,9606,Homo sapiens,"15355;17409","","R-HSA-9663363;R-HSA-9663785;R-HSA-9663736"
R-HSA-5387390,"Hh mutants abrogate ligand secretion",2,64,0.004094689699296225,0.9890923177512895,0.9890923177512895,2,7,4.6666666666666666E-4,9606,Homo sapiens,"33442;16113","","R-HSA-5387392;R-HSA-5358460"
R-HSA-9705683,"SARS-CoV-2-host interactions",15,248,0.01586692258477287,0.9896859536292228,0.9896859536292228,11,67,0.0044666666666666665,9606,Homo sapiens,"17981;64023;17196;189726;95120;9908;32365;32354;1387;36751;17759;16556;32636;68440;15756;32635","","R-HSA-9758529;R-HSA-191786;R-HSA-9729500;R-HSA-9759709;R-HSA-168184;R-HSA-9756494;R-HSA-9768142;R-HSA-9729849;R-HSA-9708889;R-HSA-9729481;R-HSA-9730505"
R-HSA-5689603,"UCH proteinases",4,98,0.006269993602047345,0.9897872705961159,0.9897872705961159,4,11,7.333333333333333E-4,9606,Homo sapiens,"33442;15611;17409;21803","","R-HSA-5665854;R-HSA-5665871;R-HSA-2179291;R-HSA-5689544"
R-HSA-9772573,"Late SARS-CoV-2 Infection Events",4,98,0.006269993602047345,0.9897872705961159,0.9897872705961159,4,69,0.0046,9606,Homo sapiens,"18347;15903;17361;17154","","R-HSA-9686790;R-HSA-9729279;R-HSA-9694718;R-HSA-9694364"
R-HSA-8978934,"Metabolism of cofactors",3,82,0.005246321177223289,0.9897880997070886,0.9897880997070886,5,34,0.002266666666666667,9606,Homo sapiens,"16939;17597;16474","","R-HSA-2162194;R-HSA-9856737;R-HSA-2162187;R-HSA-389550;R-HSA-9856794"
R-HSA-5628897,"TP53 Regulates Metabolic Genes",6,128,0.00818937939859245,0.989858782007917,0.989858782007917,6,34,0.002266666666666667,9606,Homo sapiens,"1547;17992;68441;17710;95120;27637","","R-HSA-5631941;R-HSA-380979;R-HSA-5632738;R-HSA-5632732;R-HSA-380927;R-HSA-163214"
